Mozilla/5.0 (Android 13; Mobile; SM-T350; rv:134.0) Gecko/134.0 Firefox/40.0
Mozilla/5.0 (Android 6; Mobile; CPH2131; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 4; Mobile; GT-S6010; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 6; Mobile; TECNO L8 Lite; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 9; Mobile; GT-S7262; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 15; Mobile; ZTE BLADE III; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 10; Mobile; TECNO WX4 Pro S; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 15; Mobile; ZTE A2016; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 11; Mobile; SM-T597W; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 15; Mobile; GT-B9150; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 4; Mobile; SM-G532G; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 9; Mobile; ASUS_X00TD; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 12; Mobile; HUAWEI G750-T00; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 6; Mobile; SM-A336M; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 11; Mobile; GT-P7300B; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 8; Mobile; SM-A146U1; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 12; Mobile; TECNO N8; rv:134.0) Gecko/134.0 Firefox/40.0
Mozilla/5.0 (Android 11; Mobile; TECNO ID6; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 13; Mobile; SM-E146B; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 11; Mobile; GT-S6010L; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 7; Mobile; ZTE 8010; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 14; Mobile; ZTE Blade A52; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 12; Mobile; GT-S5670B; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 7; Mobile; SM-A300FU; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 6; Mobile; SM-P607T; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 6; Mobile; GT-P6210; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 8; Mobile; SM-F936B; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 12; Mobile; SM-J5108; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 9; Mobile; ZTE Q101T; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 4; Mobile; ZTE 7530N; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 11; Mobile; ZTE 9041N; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 9; Mobile; M2003J15SC; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 14; Mobile; HUAWEI MediaPad; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 14; Mobile; ZTE BLADE V0720; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 7; Mobile; ASUS_X00BD; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 9; Mobile; SM-G970F; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 5; Mobile; ZTE V72; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 10; Mobile; SM-A136B; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 12; Mobile; ASUS_Z010DB; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 15; Mobile; SM-J810F; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 15; Mobile; SM-T378V; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 6; Mobile; GT-S7278; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 12; Mobile; SM-A032M; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 6; Mobile; SM-E5260; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 10; Mobile; GT-S7392L; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 7; Mobile; RMX2040; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 14; Mobile; Unitel Smart 1; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 11; Mobile; SM-G3502U; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 6; Mobile; SM-A750G; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 10; Mobile; GT-I8150B; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 7; Mobile; ZTE Q301C; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 9; Mobile; SM-S911U1; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 15; Mobile; CPH2043; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 7; Mobile; HUAWEI MT7-CL00; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 13; Mobile; ZTE Blade A7 2020RU; rv:134.0) Gecko/134.0 Firefox/40.0
Mozilla/5.0 (Android 4; Mobile; GT-S7898I; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 6; Mobile; SM-T975N; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 8; Mobile; GT-P7503; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 11; Mobile; ZTE Q801L; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 15; Mobile; ZTE V1050; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 15; Mobile; HUAWEI Y511-T00; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 13; Mobile; SM-J320FN; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 12; Mobile; TECNO CA6S; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 14; Mobile; M2003J15SC; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 7; Mobile; ZTE BLADE V0920; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 7; Mobile; GT-I8260L; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 9; Mobile; itel L6006F; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 11; Mobile; SM-N910U; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 11; Mobile; CPH1983; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 11; Mobile; ASUS_Z010D; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 11; Mobile; HUAWEI D2-2010; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 9; Mobile; vivo Xplay6; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 9; Mobile; HUAWEI MT7-TL00; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 13; Mobile; itel W5002; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 7; Mobile; SM-J106M; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 12; Mobile; SM-S367VL; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 4; Mobile; SM-G360BT; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 7; Mobile; SM-C5018; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 11; Mobile; itel S21; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 5; Mobile; SM-T818T; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 10; Mobile; RMX2020; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 13; Mobile; ZTE U985; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 4; Mobile; ZTE Blade L5; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 6; Mobile; ASUS_X013DB; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 7; Mobile; HUAWEI Y360-U93; rv:134.0) Gecko/134.0 Firefox/40.0
Mozilla/5.0 (Android 5; Mobile; CPH1705; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 8; Mobile; vivo Y71A; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 11; Mobile; GT-P5110; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 6; Mobile; ASUS_Z010DA; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 8; Mobile; GT-S5312M; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 9; Mobile; SM-T735; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 9; Mobile; Nokia Streaming Box 8000; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 8; Mobile; TECNO-W5; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 8; Mobile; itel A44 Power; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 4; Mobile; SM-T590; rv:134.0) Gecko/134.0 Firefox/40.0
Mozilla/5.0 (Android 15; Mobile; RMX2142; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 13; Mobile; TECNO RA8; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 10; Mobile; Huawei Y301A2; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 4; Mobile; ZTE-U N720; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 10; Mobile; TECNO IA5; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 11; Mobile; itel it1507; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 4; Mobile; Redmi Note 8; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 15; Mobile; SM-G9910; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 15; Mobile; SM-G610F; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 14; Mobile; ASUS_Z01FD; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 11; Mobile; HUAWEI G510-0010; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 12; Mobile; TECNO KD7S; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 7; Mobile; itel L6005; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 9; Mobile; SM-G850W; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 15; Mobile; Huawei-U8652; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 8; Mobile; SM-T677V; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 7; Mobile; CPH2005; rv:134.0) Gecko/134.0 Firefox/40.0
Mozilla/5.0 (Android 5; Mobile; SM-F711W; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 4; Mobile; ZTE Q201T; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 7; Mobile; GT-I5700R; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 8; Mobile; TECNO K9; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 5; Mobile; RMX2117; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 12; Mobile; HUAWEI Y535-C00; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 15; Mobile; CPH2021; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 8; Mobile; SM-G3609; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 14; Mobile; ASUS_X00LD; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 12; Mobile; HUAWEI Y320-T00; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 8; Mobile; Nokia 2 V Tella; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 9; Mobile; HUAWEI LUA-L03; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 4; Mobile; SM-X906B; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 8; Mobile; itel W5004D; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 7; Mobile; ZTE_U N720; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 9; Mobile; ZTE_LEO_Q1; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 5; Mobile; ZTE BLADE V0730; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 6; Mobile; ZTE T760; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 7; Mobile; GT-S5302; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 6; Mobile; ZTE BA602T; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 13; Mobile; ASUS_Z00EDB; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 11; Mobile; SM-G9758; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 14; Mobile; HUAWEI Y560-L01; rv:134.0) Gecko/134.0 Firefox/40.0
Mozilla/5.0 (Android 8; Mobile; HUAWEI KII-L23; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 9; Mobile; SM-N910U; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 12; Mobile; SM-A202F; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 10; Mobile; RMX3491; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 13; Mobile; itel A16; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 14; Mobile; ZTE roamer; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 8; Mobile; Redmi 4A; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 5; Mobile; GT-P7310; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 12; Mobile; GT-I9507; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 11; Mobile; GT-I9063T; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 11; Mobile; SM-A145P; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 6; Mobile; TECNO AD10; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 11; Mobile; vivo 2010; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 10; Mobile; SM-E700M; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 6; Mobile; SM-J320F; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 11; Mobile; SM-G1650; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 4; Mobile; SM-N915F; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 9; Mobile; SM-T580X; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 12; Mobile; SM-J510UN; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 15; Mobile; SM-T397U; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 10; Mobile; HUAWEI G7500; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 14; Mobile; ASUS_A002; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 10; Mobile; CPH1921; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 9; Mobile; SM-A205FN; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 6; Mobile; SM-A236V; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 12; Mobile; itel L5006; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 7; Mobile; vivo X5Max; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 4; Mobile; vivo 2015; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 8; Mobile; ZTE N919; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 4; Mobile; SM-T312; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 7; Mobile; TECNO LE7n; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 11; Mobile; GT-8105; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 11; Mobile; SM-A800YZ; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 7; Mobile; vivo X6S A; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 10; Mobile; RMX3201; rv:134.0) Gecko/134.0 Firefox/40.0
Mozilla/5.0 (Android 13; Mobile; HUAWEI KII-L22; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 11; Mobile; SM-A307G; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 8; Mobile; SM-G3586V; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 13; Mobile; SM-F721U; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 4; Mobile; ASUS_Z012D; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 13; Mobile; SM-E7000; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 14; Mobile; ZTE A0722; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 13; Mobile; SM-F721U1; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 5; Mobile; Nokia 7.1; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 9; Mobile; HUAWEI CAM-L21; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 14; Mobile; HUAWEI Y511-U10; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 8; Mobile; ZTE Blade A31 Plus RU; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 4; Mobile; SM-N9100; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 4; Mobile; CPH2275; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 4; Mobile; HUAWEI G628-TL00; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 5; Mobile; ZTE 8030N; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 11; Mobile; HUAWEI CAN-L12; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 13; Mobile; HUAWEI Y560-L03; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 15; Mobile; SM-A800YZ; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 9; Mobile; SM-G903W; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 6; Mobile; SM-J700K; rv:134.0) Gecko/134.0 Firefox/40.0
Mozilla/5.0 (Android 5; Mobile; GT-S6010; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 15; Mobile; ZTE KIS II; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 13; Mobile; itel P681L; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 10; Mobile; RMX2189; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 6; Mobile; GT-I9195; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 14; Mobile; GT-B5330L; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 8; Mobile; ASUS_X00ID; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 15; Mobile; ZTE Blade C370; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 14; Mobile; ZTE C880A; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 7; Mobile; GT-I8190N; rv:134.0) Gecko/134.0 Firefox/44.0
Mozilla/5.0 (Android 15; Mobile; SM-G530MU; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 4; Mobile; ASUS_A001D; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 4; Mobile; SM-N9300; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 14; Mobile; Huawei Ideos X1; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 4; Mobile; SAMSUNG-SM-G930AZ; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 5; Mobile; ZTE A2022H; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 15; Mobile; SM-G360T; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 8; Mobile; GT-I9063T; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 4; Mobile; TECNO CC7S; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 5; Mobile; ZTE BLADE V0900; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 6; Mobile; TECNO KA6; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 13; Mobile; TECNO DP10A; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 15; Mobile; CPH2273; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 15; Mobile; SM-A037U; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 13; Mobile; SM-T2105; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 7; Mobile; Redmi Note 5; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 4; Mobile; SM-G350; rv:134.0) Gecko/134.0 Firefox/35.0
Mozilla/5.0 (Android 4; Mobile; ZTE Blade L9; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 14; Mobile; SM-T365F0; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 4; Mobile; TECNO LF7; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 10; Mobile; ZTE A2020N3 Pro; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 13; Mobile; SM-N750K; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 5; Mobile; vivo Z3x; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 4; Mobile; SM-G850FQ; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 10; Mobile; TECNO LE7; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 11; Mobile; SM-A042F; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 8; Mobile; SM-S907VL; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 7; Mobile; SM-G130BT; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 13; Mobile; ZTE V889F; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 13; Mobile; Redmi 6; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 12; Mobile; SM-T865N; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 10; Mobile; TECNO LE6; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 8; Mobile; SM-T377W; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 10; Mobile; CPH1938; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 4; Mobile; HUAWEI G535-L11; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 4; Mobile; SM-A215U1; rv:134.0) Gecko/134.0 Firefox/33.0
Mozilla/5.0 (Android 10; Mobile; TECNO F4 Pro; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 6; Mobile; itel W4002; rv:134.0) Gecko/134.0 Firefox/32.0
Mozilla/5.0 (Android 14; Mobile; vivo Y35; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 9; Mobile; vivo PD1524B; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 5; Mobile; ASUS_T00G; rv:134.0) Gecko/134.0 Firefox/36.0
Mozilla/5.0 (Android 13; Mobile; SM-R865F; rv:134.0) Gecko/134.0 Firefox/34.0
Mozilla/5.0 (Android 13; Mobile; SM-S906N; rv:134.0) Gecko/134.0 Firefox/37.0
Mozilla/5.0 (Android 7; Mobile; ZTE T221; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 7; Mobile; SM-C115; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 6; Mobile; SM-A300YZ; rv:134.0) Gecko/134.0 Firefox/45.0
Mozilla/5.0 (Android 12; Mobile; SM-S918N; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 5; Mobile; GT-N7108D; rv:134.0) Gecko/134.0 Firefox/39.0
Mozilla/5.0 (Android 8; Mobile; ZTE N919; rv:134.0) Gecko/134.0 Firefox/30.0
Mozilla/5.0 (Android 15; Mobile; ASUS_T00K; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 4; Mobile; SM-A605XC; rv:134.0) Gecko/134.0 Firefox/31.0
Mozilla/5.0 (Android 8; Mobile; SM-P555M; rv:134.0) Gecko/134.0 Firefox/43.0
Mozilla/5.0 (Android 6; Mobile; ZTE V791; rv:134.0) Gecko/134.0 Firefox/38.0
Mozilla/5.0 (Android 9; Mobile; RMX3517; rv:134.0) Gecko/134.0 Firefox/42.0
Mozilla/5.0 (Android 7; Mobile; HUAWEI GRA-CL00; rv:134.0) Gecko/134.0 Firefox/41.0
Mozilla/5.0 (Android 12; Mobile; RMX2111; rv:134.0) Gecko/134.0 Firefox/33.0
